"_id","severity","country","city","level","line","speedKMH","length","turnType","type","uuid","endNode","speed","segments","roadType","delay","updateMillis","street","id","pubMillis"
"alert-310130040/9801490a-abef-32bb-a987-cae05435c3ce",,"BR","Recife",,,,,,"CHIT_CHAT","9801490a-abef-32bb-a987-cae05435c3ce",,0,,1,,,"R. Emiliano Braga","alert-310130040/9801490a-abef-32bb-a987-cae05435c3ce",1543247423000
"alert-328124417/1d651454-4852-381e-8e7b-f023bf593167",,"BR","Recife",,,,,,"JAM","1d651454-4852-381e-8e7b-f023bf593167",,0,,2,,,"Est. do Arraial","alert-328124417/1d651454-4852-381e-8e7b-f023bf593167",1543515052312
"alert-323848539/bdd569a7-98c4-3ea3-8041-999d72a5a7ae",,"BR","Recife",,,,,,"POLICE","bdd569a7-98c4-3ea3-8041-999d72a5a7ae",,0,,2,,,"R. Uriel de Holanda","alert-323848539/bdd569a7-98c4-3ea3-8041-999d72a5a7ae",1543515117813
"alert-328928706/8d0e14c6-4806-3a80-89e4-e2ec93e5e781",,"BR","Recife",,,,,,"POLICE","8d0e14c6-4806-3a80-89e4-e2ec93e5e781",,0,,2,,,"Av. Ver. Otacílio Azevedo","alert-328928706/8d0e14c6-4806-3a80-89e4-e2ec93e5e781",1543515258013
"alert-317709583/ec2ab5cb-6231-3f94-9f6a-b7441db35951",,"BR","Recife",,,,,,"JAM","ec2ab5cb-6231-3f94-9f6a-b7441db35951",,0,,2,,,"Est. do Arraial","alert-317709583/ec2ab5cb-6231-3f94-9f6a-b7441db35951",1543515278812
"alert-330047735/25ab4441-8bc3-37e3-86e0-0002cf9c3065",,"BR","Recife",,,,,,"ACCIDENT","25ab4441-8bc3-37e3-86e0-0002cf9c3065",,0,,2,,,"Av. Norte","alert-330047735/25ab4441-8bc3-37e3-86e0-0002cf9c3065",1543515410874
"alert-323887739/b3c786a9-fe7d-37bd-8622-59947dd1cb33",,"BR","Recife",,,,,,"HAZARD","b3c786a9-fe7d-37bd-8622-59947dd1cb33",,0,,2,,,"Av. Norte","alert-323887739/b3c786a9-fe7d-37bd-8622-59947dd1cb33",1543515428862
"alert-327838788/8c70693d-b2cd-3802-9bd2-eb680d493219",,"BR","Recife",,,,,,"JAM","8c70693d-b2cd-3802-9bd2-eb680d493219",,0,,2,,,"Av. 17 de Agosto","alert-327838788/8c70693d-b2cd-3802-9bd2-eb680d493219",1543515749612
"alert-323369289/92c30ebe-e9ed-3192-b2ff-07e054c7612b",,"BR","Recife",,,,,,"JAM","92c30ebe-e9ed-3192-b2ff-07e054c7612b",,0,,2,,,"Est. do Barbalho","alert-323369289/92c30ebe-e9ed-3192-b2ff-07e054c7612b",1543515815147
"alert-319288112/ce3611ed-0e45-3fe4-b586-9ffca8a4891a",,"BR","Recife",,,,,,"HAZARD","ce3611ed-0e45-3fe4-b586-9ffca8a4891a",,0,,2,,,"R. Leonardo Bezerra Cavalcanti","alert-319288112/ce3611ed-0e45-3fe4-b586-9ffca8a4891a",1543513118462
