"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","provider","providerId","pubMillis","reliability","reportBy","reportDescription","reportMood","reportRating","roadType","showFacebookPic","speed","street","subtype","type","uuid","wazeData","imageId","imageUrl","nearBy"
"alert-638665111/3a83acfd-67d2-3922-8e77-9fb73ca59000","Recife","[]",0,"BR","alert-638665111/3a83acfd-67d2-3922-8e77-9fb73ca59000",false,false,"{""x"":-34.91619,""y"":-8.068272}",293,0,0,0,,,1549932608394,5,,,50,3,1,false,0,"R. Itápolis","HAZARD_ON_ROAD_POT_HOLE","HAZARD","3a83acfd-67d2-3922-8e77-9fb73ca59000","world,-34.91619,-8.068272,3a83acfd-67d2-3922-8e77-9fb73ca59000,638665111",,,
"alert-647705126/4fe862bb-53a6-3a46-a0d4-c412b0da6091","Recife","[]",0,"BR","alert-647705126/4fe862bb-53a6-3a46-a0d4-c412b0da6091",false,false,"{""x"":-34.916641,""y"":-8.068085}",293,0,0,0,,,1549932683269,5,,,50,3,1,false,0,"R. Itápolis","HAZARD_ON_ROAD_POT_HOLE","HAZARD","4fe862bb-53a6-3a46-a0d4-c412b0da6091","world,-34.916641,-8.068085,4fe862bb-53a6-3a46-a0d4-c412b0da6091,647705126",,,
"alert-635140165/1e68ce47-2a02-3633-8a83-9d5ae4aab17b","Recife","[{""reportBy"":"""",""reportMillis"":1549643551449,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549651329438,""isThumbsUp"":true},{""reportBy"":""daybruna"",""reportMillis"":1549672685867,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549702624990,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549727414395,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549728660397,""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1549729410748,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549736368144,""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1549738781899,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549754391055,""isThumbsUp"":true},{""reportMillis"":1549756217430,""isThumbsUp"":true},{""reportBy"":""Fabio_viana86"",""reportMillis"":1549760649859,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549773744440,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549810028120,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549815158673,""isThumbsUp"":true},{""reportBy"":""quimicadu"",""reportMillis"":1549817457951,""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1549821217365,""isThumbsUp"":true},{""reportBy"":""wadacafly"",""reportMillis"":1549837586673,""isThumbsUp"":true},{""reportBy"":""DavidsonOliveira30"",""reportMillis"":1549882249502,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549882564161,""isThumbsUp"":true},{""reportBy"":""marcone12"",""reportMillis"":1549893477204,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549900625294,""isThumbsUp"":true},{""reportMillis"":1549916440307,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549934409304,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549967692133,""isThumbsUp"":true}]",5,"BR","alert-635140165/1e68ce47-2a02-3633-8a83-9d5ae4aab17b",false,false,"{""x"":-34.936508,""y"":-8.064922}",48,3,0,22,,,1549643050729,10,"Jerfsson",,5,1,1,false,0,"R. Dr. Flávio Ferreira da Silva Marojo","HAZARD_ON_ROAD_POT_HOLE","HAZARD","1e68ce47-2a02-3633-8a83-9d5ae4aab17b","world,-34.936508,-8.064922,1e68ce47-2a02-3633-8a83-9d5ae4aab17b,635140165",,,
"alert-644933665/98410578-101f-3d50-aed9-d6dce8ecd126","Recife","[{""reportBy"":"""",""reportMillis"":1549827752189,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549836160908,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549848726752,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549896655283,""isThumbsUp"":true}]",2,"BR","alert-644933665/98410578-101f-3d50-aed9-d6dce8ecd126",false,false,"{""x"":-34.909709,""y"":-8.08134}",261,0,0,4,,,1549798878906,9,,,50,3,,false,0,"R. Cinco de Novembro","HAZARD_ON_ROAD_POT_HOLE","HAZARD","98410578-101f-3d50-aed9-d6dce8ecd126","world,-34.909709,-8.08134,98410578-101f-3d50-aed9-d6dce8ecd126,644933665",,,
"alert-635169253/13e92c32-cbfa-38e4-bd52-72c784cb1452","Recife","[{""reportBy"":""BossOfLove"",""reportMillis"":1549970817725,""isThumbsUp"":true},{""reportBy"":""Adelmofb"",""reportMillis"":1549972309386,""isThumbsUp"":false}]",1,"BR","alert-635169253/13e92c32-cbfa-38e4-bd52-72c784cb1452",false,false,"{""x"":-34.903148,""y"":-8.07973}",64,1,0,1,,,1549970516146,7,,,0,0,2,false,0,"Av. Sul","JAM_HEAVY_TRAFFIC","JAM","13e92c32-cbfa-38e4-bd52-72c784cb1452","world,-34.903148,-8.07973,13e92c32-cbfa-38e4-bd52-72c784cb1452,635169253",,,
"alert-651548224/86f53a0d-7b34-3bc0-af45-653a65ee87c8","Recife","[{""reportBy"":""Miro6593"",""reportMillis"":1549971616255,""isThumbsUp"":true},{""reportBy"":""Viniciusbarcellos_"",""reportMillis"":1549971685229,""isThumbsUp"":true},{""reportBy"":""OZeppelin"",""reportMillis"":1549971693646,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549971914406,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972192972,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972773694,""isThumbsUp"":true}]",2,"BR","alert-651548224/86f53a0d-7b34-3bc0-af45-653a65ee87c8",false,false,"{""x"":-34.904884,""y"":-8.081014}",37,0,0,6,,,1549971134502,10,"ReiDavi2013",,51,2,2,false,0,"Av. Sul","HAZARD_ON_SHOULDER_CAR_STOPPED","HAZARD","86f53a0d-7b34-3bc0-af45-653a65ee87c8","world,-34.904884,-8.081014,86f53a0d-7b34-3bc0-af45-653a65ee87c8,651548224",,,
"alert-645388567/e164aa15-6933-3431-b8e0-cfd0f186fa12","Recife","[{""reportBy"":""ForttjFortunato"",""reportMillis"":1549971214903,""isThumbsUp"":true},{""reportBy"":""richardjossep"",""reportMillis"":1549971735364,""isThumbsUp"":false}]",1,"BR","alert-645388567/e164aa15-6933-3431-b8e0-cfd0f186fa12",false,false,"{""x"":-34.905897,""y"":-8.08262}",28,1,0,1,,,1549971167430,7,,,49,1,2,false,0,"Av. Sul","JAM_STAND_STILL_TRAFFIC","JAM","e164aa15-6933-3431-b8e0-cfd0f186fa12","world,-34.905897,-8.08262,e164aa15-6933-3431-b8e0-cfd0f186fa12,645388567",,,
"alert-637387852/4f3656b9-c606-326a-ae02-2cf7b2f7b1dc","Recife","[]",0,"BR","alert-637387852/4f3656b9-c606-326a-ae02-2cf7b2f7b1dc",false,false,"{""x"":-34.907757,""y"":-8.079799}",2,0,0,0,,,1549971292293,5,,,1,2,1,false,0,"R. Joaquim de Vasconcelos Pereira","JAM_MODERATE_TRAFFIC","JAM","4f3656b9-c606-326a-ae02-2cf7b2f7b1dc","world,-34.907757,-8.079799,4f3656b9-c606-326a-ae02-2cf7b2f7b1dc,637387852",,,
"alert-640328260/78f22200-0b30-3ee1-b601-db729e25dde3","Recife","[]",0,"BR","alert-640328260/78f22200-0b30-3ee1-b601-db729e25dde3",false,false,"{""x"":-34.892748,""y"":-8.079576}",160,0,0,0,,,1549971337467,5,,,10,1,2,false,0,"Ac. Av. Saturnino de Brito","HAZARD_ON_ROAD_CAR_STOPPED","HAZARD","78f22200-0b30-3ee1-b601-db729e25dde3","world,-34.892748,-8.079576,78f22200-0b30-3ee1-b601-db729e25dde3,640328260",,,
"alert-644108588/e2ab4ba3-a2c8-3e1a-8f6b-9d4d82ed04f4","Recife","[{""reportBy"":"""",""reportMillis"":1549971410804,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972226503,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972849027,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549973079191,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549973098361,""text"":""como  está  aí."",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1549973328984,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549973503359,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549974001134,""isThumbsUp"":true}]",4,"BR","alert-644108588/e2ab4ba3-a2c8-3e1a-8f6b-9d4d82ed04f4",false,false,"{""x"":-34.904783,""y"":-8.080882}",37,1,0,7,,,1549971385332,10,,,50,1,2,false,0,"Av. Sul","JAM_HEAVY_TRAFFIC","JAM","e2ab4ba3-a2c8-3e1a-8f6b-9d4d82ed04f4","world,-34.904783,-8.080882,e2ab4ba3-a2c8-3e1a-8f6b-9d4d82ed04f4,644108588",,,
