"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","blockDescription","blockExpiration","blockStartTime","blockType","blockUpdate","blockingAlertID","blockingAlertUuid","causeAlert","startNode"
430887833,"Curitiba","BR",64,"Tv. Percy Withers",430887833,162,1,"[{""x"":-49.284475,""y"":-25.452948},{""x"":-49.285961,""y"":-25.453511}]",1550371906818,1,"[{""fromNode"":161146986,""ID"":242713292,""toNode"":161146734,""isForward"":true}]",0,1.113888888888889,4.010000000000001,"R. Brasílio Itiberê","NONE","NONE",1550373587714,430887833,,,,,,,,,
430887953,"Curitiba","BR",66,"Av. Iguaçu - Pista Esq.",430887953,503,2,"[{""x"":-49.262487,""y"":-25.444582},{""x"":-49.263118,""y"":-25.443244},{""x"":-49.263726,""y"":-25.441918},{""x"":-49.263792,""y"":-25.441765},{""x"":-49.264458,""y"":-25.440408}]",1550371906927,2,"[{""fromNode"":161153520,""ID"":234229466,""toNode"":161153319,""isForward"":true},{""fromNode"":161153319,""ID"":158591706,""toNode"":161153111,""isForward"":true},{""fromNode"":161153111,""ID"":167604727,""toNode"":165078272,""isForward"":false},{""fromNode"":165078272,""ID"":167604724,""toNode"":161152950,""isForward"":false}]",0,3.238888888888889,11.66,"R. Rockefeller","NONE","NONE",1550373588199,430887953,,,,,,,,,
443980866,"Curitiba","BR",65,"R. Maestro Francisco Antonello",443980866,267,2,"[{""x"":-49.276678,""y"":-25.486648},{""x"":-49.275613,""y"":-25.487363},{""x"":-49.274536,""y"":-25.488082}]",1550371907150,1,"[{""fromNode"":161149481,""ID"":158585879,""toNode"":161149622,""isForward"":false},{""fromNode"":161149622,""ID"":158586376,""toNode"":161149959,""isForward"":false}]",0,1.9583333333333333,7.05,"R. Hassib Jezzini","NONE","NONE",1550372662161,443980866,,,,,,,,,
445543178,"Curitiba","BR",243,"R. Gen. Ary Duarte Nunes",445543178,159,4,"[{""x"":-49.228976,""y"":-25.472687},{""x"":-49.230304,""y"":-25.473468}]",1550371909430,1,"[{""fromNode"":161161654,""ID"":158603886,""toNode"":161161356,""isForward"":false}]",0,0.5611111111111111,2.02,"R. Ulisses José Ribeiro","NONE","NONE",1550372664324,445543178,,,,,,,,,
428652821,"Curitiba","BR",62,"R. João Palomeque",428652821,158,1,"[{""x"":-49.294485,""y"":-25.480755},{""x"":-49.294441,""y"":-25.482184}]",1550371911392,1,"[{""fromNode"":161144619,""ID"":158578894,""toNode"":232803024,""isForward"":true}]",0,1.1166666666666667,4.0200000000000005,"R. Alberto Stenzowski","NONE","NONE",1550373593685,428652821,,,,,,,,,
474587897,"Curitiba","BR",72,"R. Archangelo Smaniotto",474587897,188,1,"[{""x"":-49.221934,""y"":-25.463646},{""x"":-49.222544,""y"":-25.462038}]",1550372195332,1,"[{""fromNode"":161163107,""ID"":158606140,""toNode"":161163002,""isForward"":false}]",0,1.125,4.05,"R. Câmara Jr.","NONE","NONE",1550372663516,474587897,,,,,,,,,
429153591,"Curitiba","BR",107,"R. Eng. Niepce da Silva",429153591,289,3,"[{""x"":-49.29346,""y"":-25.474427},{""x"":-49.293557,""y"":-25.474234},{""x"":-49.293822,""y"":-25.473847},{""x"":-49.294022,""y"":-25.473598},{""x"":-49.294195,""y"":-25.473357},{""x"":-49.294314,""y"":-25.473068},{""x"":-49.294343,""y"":-25.472899},{""x"":-49.294331,""y"":-25.472187},{""x"":-49.294328,""y"":-25.472035}]",1550372476903,2,"[{""fromNode"":161144979,""ID"":323869374,""toNode"":261052195,""isForward"":true},{""fromNode"":261052195,""ID"":344211365,""toNode"":261052198,""isForward"":true}]",0,2.066666666666667,7.440000000000001,"Av. República Argentina","NONE","NONE",1550373039228,429153591,,,,,,,,,
431466473,"Curitiba","BR",71,"Av. Pres. Getúlio Vargas",431466473,482,3,"[{""x"":-49.292874,""y"":-25.455697},{""x"":-49.294182,""y"":-25.45548},{""x"":-49.295397,""y"":-25.455276},{""x"":-49.296682,""y"":-25.45505},{""x"":-49.297264,""y"":-25.454942},{""x"":-49.297363,""y"":-25.454889},{""x"":-49.2974,""y"":-25.454834},{""x"":-49.297405,""y"":-25.454716}]",1550372568486,1,"[{""fromNode"":178354394,""ID"":193529878,""toNode"":161144705,""isForward"":false},{""fromNode"":161144705,""ID"":158578554,""toNode"":161144387,""isForward"":true},{""fromNode"":161144387,""ID"":158578072,""toNode"":161144159,""isForward"":true},{""fromNode"":161144159,""ID"":158577740,""toNode"":161144051,""isForward"":true},{""fromNode"":161144051,""ID"":158577727,""toNode"":161144012,""isForward"":true}]",0,2.363888888888889,8.51,"R. Cel. Ottoni Maciel","NONE","NONE",1550373587019,431466473,,,,,,,,,
425171032,"Curitiba","BR",65,"R. Marcos Smanhotto",425171032,476,3,"[{""x"":-49.226704,""y"":-25.454367},{""x"":-49.226968,""y"":-25.453826},{""x"":-49.227214,""y"":-25.453327},{""x"":-49.227293,""y"":-25.453164},{""x"":-49.228041,""y"":-25.452461},{""x"":-49.228238,""y"":-25.452266},{""x"":-49.229375,""y"":-25.451241},{""x"":-49.229504,""y"":-25.451094},{""x"":-49.229552,""y"":-25.451016}]",1550372660722,2,"[{""fromNode"":161162285,""ID"":158604873,""toNode"":161162233,""isForward"":false},{""fromNode"":161162233,""ID"":198218942,""toNode"":161162058,""isForward"":false},{""fromNode"":161162058,""ID"":165683220,""toNode"":164289205,""isForward"":false},{""fromNode"":164289205,""ID"":165683218,""toNode"":161162012,""isForward"":false},{""fromNode"":161162012,""ID"":158604504,""toNode"":161161797,""isForward"":true},{""fromNode"":161161797,""ID"":158604120,""toNode"":161161752,""isForward"":true}]",0,3.6333333333333333,13.08,"Av. N. Sra. de Lourdes","NONE","NONE",1550372660723,425171032,,,,,,,,,
424493622,"Curitiba","BR",147,"R. Mauá",424493622,828,2,"[{""x"":-49.267875,""y"":-25.423562},{""x"":-49.26671,""y"":-25.42258},{""x"":-49.265937,""y"":-25.420895},{""x"":-49.265843,""y"":-25.420739},{""x"":-49.262934,""y"":-25.417695}]",1550371904878,1,"[{""fromNode"":248409560,""ID"":304167731,""toNode"":248409693,""isForward"":false},{""fromNode"":248409693,""ID"":304459090,""toNode"":248597757,""isForward"":false}]",0,2.841666666666667,10.23,"V. Exclusiva Ônibus","NONE","NONE",1550373586631,424493622,,,,,,,,,
474275137,"Curitiba","BR",80,"Al. Dr. Carlos de Carvalho",474275137,637,2,"[{""x"":-49.288642,""y"":-25.428802},{""x"":-49.288601,""y"":-25.428889},{""x"":-49.288153,""y"":-25.429765},{""x"":-49.287634,""y"":-25.430894},{""x"":-49.287255,""y"":-25.431684},{""x"":-49.286704,""y"":-25.432824},{""x"":-49.286618,""y"":-25.433016},{""x"":-49.286122,""y"":-25.43408}]",1550371905881,2,"[{""fromNode"":234236063,""ID"":283286896,""toNode"":161146091,""isForward"":false},{""fromNode"":161146091,""ID"":167109615,""toNode"":161146194,""isForward"":false},{""fromNode"":161146194,""ID"":158581156,""toNode"":161146322,""isForward"":false},{""fromNode"":161146322,""ID"":158581344,""toNode"":161146385,""isForward"":false},{""fromNode"":161146385,""ID"":158581461,""toNode"":161146653,""isForward"":false},{""fromNode"":161146653,""ID"":158581631,""toNode"":161146773,""isForward"":false},{""fromNode"":161146773,""ID"":158581662,""toNode"":161146756,""isForward"":false}]",0,3.7333333333333334,13.440000000000001,"Al. Pres. Taunay","NONE","NONE",1550372660697,474275137,,,,,,,,,
406516815,"Curitiba","BR",84,"Av. Victor Ferreira do Amaral",406516815,260,2,"[{""x"":-49.238954,""y"":-25.425324},{""x"":-49.238273,""y"":-25.426727},{""x"":-49.237914,""y"":-25.427473}]",1550371908070,1,"[{""fromNode"":202092344,""ID"":158601184,""toNode"":161159689,""isForward"":true},{""fromNode"":161159689,""ID"":158601419,""toNode"":161159666,""isForward"":true}]",0,1.3972222222222221,5.03,"R. Frei Orlando","NONE","NONE",1550373589031,406516815,,,,,,,,,
428650421,"Curitiba","BR",122,"R. Adão Sobocinski",428650421,365,3,"[{""x"":-49.241106,""y"":-25.436457},{""x"":-49.238872,""y"":-25.435594},{""x"":-49.237773,""y"":-25.435152}]",1550371908998,1,"[{""fromNode"":161159081,""ID"":137801941,""toNode"":153844153,""isForward"":false},{""fromNode"":153844153,""ID"":158601203,""toNode"":161159817,""isForward"":true}]",0,1.7916666666666667,6.45,"R. Cel. Pedro Scherer Sobrinho","NONE","NONE",1550372664247,428650421,,,,,,,,,
428389274,"Curitiba","BR",192,"R. Manoel Eufrásio",428389274,520,3,"[{""x"":-49.260217,""y"":-25.405459},{""x"":-49.26039,""y"":-25.406152},{""x"":-49.260565,""y"":-25.406842},{""x"":-49.260919,""y"":-25.408343},{""x"":-49.261337,""y"":-25.410039}]",1550371908099,1,"[{""fromNode"":161154387,""ID"":158593210,""toNode"":161154275,""isForward"":false},{""fromNode"":161154275,""ID"":158593136,""toNode"":161154075,""isForward"":false},{""fromNode"":161154075,""ID"":158592990,""toNode"":161154000,""isForward"":false},{""fromNode"":161154000,""ID"":158592832,""toNode"":161153879,""isForward"":false}]",0,1.9111111111111112,6.880000000000001,"R. Mal. Mallet","NONE","NONE",1550373589018,428389274,,,,,,,,,
406644845,"Curitiba","BR",61,,406644845,154,1,"[{""x"":-49.257211,""y"":-25.41364},{""x"":-49.256032,""y"":-25.414533}]",1550371916956,1,"[{""fromNode"":188592563,""ID"":158594501,""toNode"":203265724,""isForward"":false}]",0,1.1111111111111112,4,"R. Moysés Marcondes","NONE","NONE",1550372671327,406644845,,,,,,,,,
428714620,"Curitiba","BR",73,"R. Nilo Peçanha",428714620,769,1,"[{""x"":-49.279772,""y"":-25.392976},{""x"":-49.27954,""y"":-25.393013},{""x"":-49.279301,""y"":-25.393065},{""x"":-49.278993,""y"":-25.393176},{""x"":-49.278685,""y"":-25.393272},{""x"":-49.278183,""y"":-25.393406},{""x"":-49.277475,""y"":-25.393609},{""x"":-49.277234,""y"":-25.3937},{""x"":-49.276845,""y"":-25.393903},{""x"":-49.276384,""y"":-25.394184},{""x"":-49.275929,""y"":-25.394431},{""x"":-49.275688,""y"":-25.394586},{""x"":-49.275569,""y"":-25.394687},{""x"":-49.27533,""y"":-25.39499},{""x"":-49.275012,""y"":-25.395479},{""x"":-49.274822,""y"":-25.395713},{""x"":-49.274422,""y"":-25.395969},{""x"":-49.273449,""y"":-25.396512}]",1550371905494,1,"[{""fromNode"":161148245,""ID"":158584503,""toNode"":161148707,""isForward"":false},{""fromNode"":161148707,""ID"":158585202,""toNode"":161149182,""isForward"":false}]",0,4.197222222222222,15.11,"R. Francisco Caron","NONE","NONE",1550372660532,428714620,,,,,,,,,
169569077,"Curitiba","BR",-1,,169569077,10,5,"[{""x"":-49.242293,""y"":-25.384494},{""x"":-49.242219,""y"":-25.384555}]",1550130447972,1,"[{""fromNode"":290279879,""ID"":370005829,""toNode"":290279880,""isForward"":true}]",3,0,0,"R. Prof. Omar Gonçalves da Motta","NONE","NONE",1550458853332,169569077,"Ponte Quebrada",1554087540000,1549109460000,"ROAD_CLOSED_EVENT",1549109491984,592121973,"f696a420-aac2-38ca-a1eb-16a6c9f21897",,
140074076,"Curitiba","BR",-1,,140074076,10,5,"[{""x"":-49.242219,""y"":-25.384555},{""x"":-49.242293,""y"":-25.384494}]",1550130447972,1,"[{""fromNode"":290279880,""ID"":370005829,""toNode"":290279879,""isForward"":false}]",3,0,0,"R. Prof. Omar Gonçalves da Motta","NONE","NONE",1550458853332,140074076,"Ponte Quebrada",1554087540000,1549109460000,"ROAD_CLOSED_EVENT",1549370226203,615331468,"d7abcc48-2275-3572-9639-86bdaf5ed6e4",,
474276737,"Curitiba","BR",77,"R. Waldomiro Dombeck",474276737,289,2,"[{""x"":-49.240969,""y"":-25.393833},{""x"":-49.242791,""y"":-25.395844}]",1550371908046,1,"[{""fromNode"":161158897,""ID"":158599881,""toNode"":161158703,""isForward"":true}]",0,2.136111111111111,7.69,"Av. Paraná","NONE","NONE",1550372662975,474276737,,,,,,,,,
