"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportMood","reportRating","roadType","showFacebookPic","speed","street","subtype","type","uuid","wazeData","reportBy","reportDescription","reportByActiveGroupIcon","reportByActiveGroupName","provider","providerId","nearBy","imageId","imageUrl"
"alert-664392685/4c034ba6-e385-3059-af78-b9b04021530e",,"[{""reportBy"":"""",""reportMillis"":1550388810081,""isThumbsUp"":true}]",0,"BR","alert-664392685/4c034ba6-e385-3059-af78-b9b04021530e",true,false,"{""x"":-49.178708,""y"":-25.578211}",162,0,0,1,1550387831209,6,11,2,6,false,0,"BR-376 S Rod. Henrique Herwig","HAZARD_ON_ROAD_CAR_STOPPED","HAZARD","4c034ba6-e385-3059-af78-b9b04021530e","world,-49.178708,-25.578211,4c034ba6-e385-3059-af78-b9b04021530e,664392685","rafa-fontes",,"rictv","RICTV",,,"Curitba",,
"alert-661429497/070a7257-29de-3d62-bd89-14ec55ba2f98","Curitiba","[]",0,"BR","alert-661429497/070a7257-29de-3d62-bd89-14ec55ba2f98",false,false,"{""x"":-49.235757,""y"":-25.502468}",337,0,0,0,1550388124964,5,24,2,2,false,0,"R. Anne Frank","","POLICE","070a7257-29de-3d62-bd89-14ec55ba2f98","world,-49.235757,-25.502468,070a7257-29de-3d62-bd89-14ec55ba2f98,661429497",,,,,,,,,
"alert-658589139/60d3b7d7-7d24-3d45-83db-30b30f960624","Curitiba","[]",0,"BR","alert-658589139/60d3b7d7-7d24-3d45-83db-30b30f960624",false,false,"{""x"":-49.294585,""y"":-25.445128}",235,0,0,0,1550388936326,5,24,0,2,false,0,"R. Bispo D. José","","JAM","60d3b7d7-7d24-3d45-83db-30b30f960624","world,-49.294585,-25.445128,60d3b7d7-7d24-3d45-83db-30b30f960624,658589139",,,,,,,,,
"alert-667031974/f5c241f8-6a0e-3d44-8abb-760855cd8667","Curitiba","[]",0,"BR","alert-667031974/f5c241f8-6a0e-3d44-8abb-760855cd8667",false,false,"{""x"":-49.291375,""y"":-25.444115}",243,0,0,0,1550388830899,6,58,0,2,false,0,"R. Bispo D. José","POLICE_VISIBLE","POLICE","f5c241f8-6a0e-3d44-8abb-760855cd8667","world,-49.291375,-25.444115,f5c241f8-6a0e-3d44-8abb-760855cd8667,667031974","back2papa",,,,,,,,
"alert-665049335/050c74b6-f4e3-3e23-8d5d-2533a63f9f26","Curitiba","[]",0,"BR","alert-665049335/050c74b6-f4e3-3e23-8d5d-2533a63f9f26",true,false,"{""x"":-49.24819,""y"":-25.455086}",220,0,0,0,1550389652639,5,50,3,6,false,0,"Av. Linha Verde","ACCIDENT_MAJOR","ACCIDENT","050c74b6-f4e3-3e23-8d5d-2533a63f9f26","world,-49.24819,-25.455086,050c74b6-f4e3-3e23-8d5d-2533a63f9f26,665049335","Mato_Grosso",,,,,,,,
"alert-651690403/a0d7227f-5202-357e-92ab-799de197039f","Curitiba","[{""reportBy"":"""",""reportMillis"":1550391648900,""isThumbsUp"":true}]",0,"BR","alert-651690403/a0d7227f-5202-357e-92ab-799de197039f",false,false,"{""x"":-49.258582,""y"":-25.427999}",65,0,0,1,1550390165816,6,46,1,1,false,0,"R. Benjamin Constant","","ACCIDENT","a0d7227f-5202-357e-92ab-799de197039f","world,-49.258582,-25.427999,a0d7227f-5202-357e-92ab-799de197039f,651690403",,,,,,,,,
"alert-665905755/5615a5ef-a86b-3200-b316-1e3e1b4a7e20","Curitiba","[]",0,"BR","alert-665905755/5615a5ef-a86b-3200-b316-1e3e1b4a7e20",false,false,"{""x"":-49.271207,""y"":-25.42423}",0,0,0,0,1550355862524,6,0,0,,false,0,"R. Mateus Leme","ROAD_CLOSED_EVENT","ROAD_CLOSED","5615a5ef-a86b-3200-b316-1e3e1b4a7e20","world,-49.271207,-25.42423,5615a5ef-a86b-3200-b316-1e3e1b4a7e20,665905755","LPMarti","Santander Track&Field Run",,,,,,,
"alert-662425767/170c3753-6050-309d-b349-06e5850a92e7","Curitiba","[]",0,"BR","alert-662425767/170c3753-6050-309d-b349-06e5850a92e7",false,false,"{""x"":-49.26992,""y"":-25.423446}",0,0,0,0,1550355862772,6,0,0,,false,0,"Av. Cândido de Abreu","ROAD_CLOSED_EVENT","ROAD_CLOSED","170c3753-6050-309d-b349-06e5850a92e7","world,-49.26992,-25.423446,170c3753-6050-309d-b349-06e5850a92e7,662425767","LPMarti","Santander Track&Field Run",,,,,,,
"alert-652845953/427264d0-e600-3db8-87a3-a8f3db26c693","Curitiba","[]",0,"BR","alert-652845953/427264d0-e600-3db8-87a3-a8f3db26c693",false,false,"{""x"":-49.271432,""y"":-25.425212}",0,0,0,0,1550355867146,6,0,0,,false,0,"R. Mateus Leme","ROAD_CLOSED_EVENT","ROAD_CLOSED","427264d0-e600-3db8-87a3-a8f3db26c693","world,-49.271432,-25.425212,427264d0-e600-3db8-87a3-a8f3db26c693,652845953","LPMarti","Santander Track&Field Run",,,,,,,
"alert-660965958/fd299464-2709-3cfe-91d3-c45814237a3c","Curitiba","[]",0,"BR","alert-660965958/fd299464-2709-3cfe-91d3-c45814237a3c",false,false,"{""x"":-49.270399,""y"":-25.425425}",0,0,0,0,1550355867276,6,0,0,,false,0,"R. Barão do Serro Azul","ROAD_CLOSED_EVENT","ROAD_CLOSED","fd299464-2709-3cfe-91d3-c45814237a3c","world,-49.270399,-25.425425,fd299464-2709-3cfe-91d3-c45814237a3c,660965958","LPMarti","Santander Track&Field Run",,,,,,,
"alert-668445324/7e5a701d-2d6e-3a94-8554-dc648850fbe6","Curitiba","[]",0,"BR","alert-668445324/7e5a701d-2d6e-3a94-8554-dc648850fbe6",false,false,"{""x"":-49.270807,""y"":-25.422476}",0,0,0,0,1550355853085,6,0,0,,false,0,"R. Mateus Leme","ROAD_CLOSED_EVENT","ROAD_CLOSED","7e5a701d-2d6e-3a94-8554-dc648850fbe6","world,-49.270807,-25.422476,7e5a701d-2d6e-3a94-8554-dc648850fbe6,668445324","LPMarti","Santander Track&Field Run",,,,,,,
"alert-662425627/b5a27371-de94-37cb-baf3-5d6845aa7e7a","Curitiba","[]",0,"BR","alert-662425627/b5a27371-de94-37cb-baf3-5d6845aa7e7a",false,false,"{""x"":-49.27002,""y"":-25.423852}",0,0,0,0,1550355859860,6,0,0,,false,0,"Av. Cândido de Abreu","ROAD_CLOSED_EVENT","ROAD_CLOSED","b5a27371-de94-37cb-baf3-5d6845aa7e7a","world,-49.27002,-25.423852,b5a27371-de94-37cb-baf3-5d6845aa7e7a,662425627","LPMarti","Santander Track&Field Run",,,,,,,
"alert-655865981/e27dfd93-f830-35b3-bb5b-a4d343e9b61a","Curitiba","[]",0,"BR","alert-655865981/e27dfd93-f830-35b3-bb5b-a4d343e9b61a",false,false,"{""x"":-49.271793,""y"":-25.426792}",0,0,0,0,1550355867792,6,0,0,,false,0,"R. 13 de Maio","ROAD_CLOSED_EVENT","ROAD_CLOSED","e27dfd93-f830-35b3-bb5b-a4d343e9b61a","world,-49.271793,-25.426792,e27dfd93-f830-35b3-bb5b-a4d343e9b61a,655865981","LPMarti","Santander Track&Field Run",,,,,,,
"alert-652846033/d7d7f55a-58c9-3522-b6f2-b987853ea922","Curitiba","[]",0,"BR","alert-652846033/d7d7f55a-58c9-3522-b6f2-b987853ea922",false,false,"{""x"":-49.271578,""y"":-25.425852}",0,0,0,0,1550355868912,6,0,0,,false,0,"R. Mateus Leme","ROAD_CLOSED_EVENT","ROAD_CLOSED","d7d7f55a-58c9-3522-b6f2-b987853ea922","world,-49.271578,-25.425852,d7d7f55a-58c9-3522-b6f2-b987853ea922,652846033","LPMarti","Santander Track&Field Run",,,,,,,
"alert-665906035/e9eb7a8b-53b7-332f-acbf-b5514d255354","Curitiba","[]",0,"BR","alert-665906035/e9eb7a8b-53b7-332f-acbf-b5514d255354",false,false,"{""x"":-49.270127,""y"":-25.424335}",0,0,0,0,1550355868959,6,0,0,,false,0,"R. Barão do Serro Azul","ROAD_CLOSED_EVENT","ROAD_CLOSED","e9eb7a8b-53b7-332f-acbf-b5514d255354","world,-49.270127,-25.424335,e9eb7a8b-53b7-332f-acbf-b5514d255354,665906035","LPMarti","Santander Track&Field Run",,,,,,,
