"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportBy","reportMood","reportRating","roadType","showFacebookPic","speed","subtype","type","uuid","wazeData","street","provider","providerId","reportDescription","nearBy","additionalInfo","reportByActiveGroupIcon","reportByActiveGroupName","imageId","imageUrl"
"alert-660209878/75c2361c-4234-3de1-bbc9-c78f18d4e30d","Recife","[{""reportBy"":"""",""reportMillis"":1550413767726,""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1550414760465,""isThumbsUp"":false}]",1,"BR","alert-660209878/75c2361c-4234-3de1-bbc9-c78f18d4e30d",false,false,"{""x"":-34.910174,""y"":-8.044579}",160,2,0,0,1550413597504,7,,24,2,1,false,0,"JAM_HEAVY_TRAFFIC","JAM","75c2361c-4234-3de1-bbc9-c78f18d4e30d","world,-34.910174,-8.044579,75c2361c-4234-3de1-bbc9-c78f18d4e30d,660209878","R. Real da Torre",,,,,,,,,
"alert-658143580/29d07ef2-9bf8-3b52-96a0-fe01c5164e78","Olinda","[]",0,"BR","alert-658143580/29d07ef2-9bf8-3b52-96a0-fe01c5164e78",false,false,"{""x"":-34.87215,""y"":-8.011644}",189,0,0,0,1550413681645,5,,24,2,2,false,0,"JAM_STAND_STILL_TRAFFIC","JAM","29d07ef2-9bf8-3b52-96a0-fe01c5164e78","world,-34.87215,-8.011644,29d07ef2-9bf8-3b52-96a0-fe01c5164e78,658143580","Av. Antônio da Costa Azevedo",,,,,,,,,
"alert-666273066/34bf2bb2-e8b6-3ace-a8e1-7d949e817879","Olinda","[]",0,"BR","alert-666273066/34bf2bb2-e8b6-3ace-a8e1-7d949e817879",false,false,"{""x"":-34.863382,""y"":-8.016451}",303,0,0,0,1550413784790,5,,0,0,1,false,0,"","POLICE","34bf2bb2-e8b6-3ace-a8e1-7d949e817879","world,-34.863382,-8.016451,34bf2bb2-e8b6-3ace-a8e1-7d949e817879,666273066","R. Dr. Sérgio Loreto",,,,,,,,,
"alert-656723621/da79b762-e76c-3051-be2b-d71ac3a2ff60","Olinda","[]",0,"BR","alert-656723621/da79b762-e76c-3051-be2b-d71ac3a2ff60",false,false,"{""x"":-34.872251,""y"":-8.012298}",190,0,0,0,1550413804400,5,,24,2,2,false,0,"JAM_STAND_STILL_TRAFFIC","JAM","da79b762-e76c-3051-be2b-d71ac3a2ff60","world,-34.872251,-8.012298,da79b762-e76c-3051-be2b-d71ac3a2ff60,656723621","Av. Antônio da Costa Azevedo",,,,,,,,,
"alert-669873024/3a6701a0-265b-3f66-afef-a038785bd018","Paulista","[]",0,"BR","alert-669873024/3a6701a0-265b-3f66-afef-a038785bd018",false,false,"{""x"":-34.885089,""y"":-7.932789}",327,0,1,0,1550413664086,5,,34,0,,false,0,"","HAZARD","3a6701a0-265b-3f66-afef-a038785bd018","world,-34.885089,-7.932789,3a6701a0-265b-3f66-afef-a038785bd018,669873024","Via Expressa Ônibus",,,"torcida organizada torcida",,,,,"4f9aac6d-10d9-4354-8760-c479060cf6d4","https://s3.amazonaws.com/waze.photos/4f9aac6d-10d9-4354-8760-c479060cf6d4"
"alert-666206705/6211d5a5-f955-392b-93ea-24f6973586aa",,"[]",0,"BR","alert-666206705/6211d5a5-f955-392b-93ea-24f6973586aa",false,false,"{""x"":-34.887953,""y"":-7.927319}",148,0,0,0,1550413787006,5,,24,2,,false,0,"","POLICE","6211d5a5-f955-392b-93ea-24f6973586aa","world,-34.887953,-7.927319,6211d5a5-f955-392b-93ea-24f6973586aa,666206705",,,,,"Paulista",,,,,
"alert-660806998/88ebc5b5-3108-351f-8613-53134d7878e8","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550427947332,""isThumbsUp"":true},{""reportBy"":""CleisonBarraNova01"",""reportMillis"":1550428492528,""isThumbsUp"":true},{""reportMillis"":1550443936474,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550445133217,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550447825458,""isThumbsUp"":true}]",2,"BR","alert-660806998/88ebc5b5-3108-351f-8613-53134d7878e8",false,false,"{""x"":-34.959876,""y"":-8.132215}",130,0,0,5,1550414032380,10,,10,2,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","88ebc5b5-3108-351f-8613-53134d7878e8","world,-34.959876,-8.132215,88ebc5b5-3108-351f-8613-53134d7878e8,660806998","Av. Bom Jesus",,,,,,,,,
"alert-658091639/c7231004-2fa2-3e7a-90c6-9086cfa1eb5c","Recife","[]",0,"BR","alert-658091639/c7231004-2fa2-3e7a-90c6-9086cfa1eb5c",false,false,"{""x"":-34.927005,""y"":-8.108148}",353,0,0,0,1550414133667,5,"jvfj",0,2,2,false,0,"JAM_MODERATE_TRAFFIC","JAM","c7231004-2fa2-3e7a-90c6-9086cfa1eb5c","world,-34.927005,-8.108148,c7231004-2fa2-3e7a-90c6-9086cfa1eb5c,658091639","Av. Recife",,,,,,,,,
"alert-663551686/68fba8d2-2728-3795-970f-f40405cbdf52","Recife","[]",0,"BR","alert-663551686/68fba8d2-2728-3795-970f-f40405cbdf52",false,false,"{""x"":-34.957683,""y"":-8.029299}",197,0,0,0,1550413925797,5,,50,1,2,false,0,"JAM_HEAVY_TRAFFIC","JAM","68fba8d2-2728-3795-970f-f40405cbdf52","world,-34.957683,-8.029299,68fba8d2-2728-3795-970f-f40405cbdf52,663551686","R. Ribeiro Pessoa",,,,,,,,,
"alert-651651343/fcf571df-1938-3e50-97db-cd35f04ed093","Recife","[]",0,"BR","alert-651651343/fcf571df-1938-3e50-97db-cd35f04ed093",false,false,"{""x"":-34.904032,""y"":-8.039818}",143,0,0,0,1550414042574,5,"Deusefiellc137",10,2,2,false,0,"ACCIDENT_MINOR","ACCIDENT","fcf571df-1938-3e50-97db-cd35f04ed093","world,-34.904032,-8.039818,fcf571df-1938-3e50-97db-cd35f04ed093,651651343","Av. Rui Barbosa",,,,,,,,,
