"_id","city","country","delay","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","endNode","startNode"
454433058,"Campina Grande","BR",66,454433058,364,2,"[{""x"":-35.903392,""y"":-7.25166},{""x"":-35.904377,""y"":-7.251553},{""x"":-35.905857,""y"":-7.251392},{""x"":-35.906674,""y"":-7.25131}]",1550382867015,1,"[{""fromNode"":159781888,""ID"":156545738,""toNode"":159781714,""isForward"":true},{""fromNode"":159781714,""ID"":156545469,""toNode"":159781566,""isForward"":true},{""fromNode"":159781566,""ID"":213281419,""toNode"":188711943,""isForward"":true}]",0,2.613888888888889,9.41,"R. Dr. Floriano Mendes Freire","NONE","NONE",1550383516850,454433058,"Av. Pres. Juscelino Kubitschek",
455292708,"Campina Grande","BR",66,455292708,364,2,"[{""x"":-35.903392,""y"":-7.25166},{""x"":-35.904377,""y"":-7.251553},{""x"":-35.905857,""y"":-7.251392},{""x"":-35.906674,""y"":-7.25131}]",1550383922920,1,"[{""fromNode"":159781888,""ID"":156545738,""toNode"":159781714,""isForward"":true},{""fromNode"":159781714,""ID"":156545469,""toNode"":159781566,""isForward"":true},{""fromNode"":159781566,""ID"":213281419,""toNode"":188711943,""isForward"":true}]",0,2.613888888888889,9.41,"R. Dr. Floriano Mendes Freire","NONE","NONE",1550384729977,455292708,"Av. Pres. Juscelino Kubitschek",
454498256,"Campina Grande","BR",90,454498256,668,3,"[{""x"":-35.841926,""y"":-7.250073},{""x"":-35.844775,""y"":-7.248625},{""x"":-35.846736,""y"":-7.247628},{""x"":-35.84732,""y"":-7.247332}]",1550384891473,6,"[{""fromNode"":235465841,""ID"":341067464,""toNode"":271732251,""isForward"":true},{""fromNode"":271732251,""ID"":341067465,""toNode"":235467724,""isForward"":true},{""fromNode"":235467724,""ID"":285303058,""toNode"":235467717,""isForward"":true}]",1,5.177777777777778,18.64,"BR-230 Rod. Gov. Antônio Mariz","NONE","NONE",1550385616893,454498256,"Retorno",
418303385,"Campina Grande","BR",147,418303385,256,4,"[{""x"":-35.901496,""y"":-7.225353},{""x"":-35.901636,""y"":-7.226982},{""x"":-35.901685,""y"":-7.22766}]",1550386418744,1,"[{""fromNode"":159782227,""ID"":156546365,""toNode"":159782217,""isForward"":true},{""fromNode"":159782217,""ID"":184277332,""toNode"":174404223,""isForward"":true}]",0,1.475,5.3100000000000005,"R. Ladislau Rodrigues de Souza","NONE","NONE",1550386811078,418303385,"Av. Floriano Peixoto",
456180326,"Campina Grande","BR",106,456180326,230,2,"[{""x"":-35.881969,""y"":-7.224053},{""x"":-35.884027,""y"":-7.223759}]",1550387045184,1,"[{""fromNode"":159784103,""ID"":156549252,""toNode"":177424141,""isForward"":false}]",0,1.4027777777777777,5.05,"R. Des. Trindade","NONE","NONE",1550387749557,456180326,"R. Miguel Couto",
441636271,"Campina Grande","BR",106,441636271,230,2,"[{""x"":-35.881969,""y"":-7.224053},{""x"":-35.884027,""y"":-7.223759}]",1550388062919,1,"[{""fromNode"":159784103,""ID"":156549252,""toNode"":177424141,""isForward"":false}]",0,1.4027777777777777,5.05,"R. Des. Trindade","NONE","NONE",1550388920027,441636271,"R. Miguel Couto",
442324804,"Campina Grande","BR",106,442324804,230,2,"[{""x"":-35.881969,""y"":-7.224053},{""x"":-35.884027,""y"":-7.223759}]",1550389232412,1,"[{""fromNode"":159784103,""ID"":156549252,""toNode"":177424141,""isForward"":false}]",0,1.4027777777777777,5.05,"R. Des. Trindade","NONE","NONE",1550389850869,442324804,"R. Miguel Couto",
439118872,"Campina Grande","BR",117,439118872,300,3,"[{""x"":-35.884529,""y"":-7.218166},{""x"":-35.88399,""y"":-7.217602},{""x"":-35.883504,""y"":-7.217134},{""x"":-35.88325,""y"":-7.216955},{""x"":-35.882586,""y"":-7.216563},{""x"":-35.882485,""y"":-7.216417}]",1550390082637,1,"[{""fromNode"":159784025,""ID"":156549183,""toNode"":159784071,""isForward"":true},{""fromNode"":159784071,""ID"":156549272,""toNode"":159784109,""isForward"":true},{""fromNode"":159784109,""ID"":156549363,""toNode"":159784176,""isForward"":true},{""fromNode"":159784176,""ID"":156549395,""toNode"":159784232,""isForward"":true}]",0,1.8055555555555556,6.5,"R. Cardoso Vieira","NONE","NONE",1550390392184,439118872,"R. Tavares Cavalcante",
443588260,"Campina Grande","BR",106,443588260,230,2,"[{""x"":-35.881969,""y"":-7.224053},{""x"":-35.884027,""y"":-7.223759}]",1550390313242,1,"[{""fromNode"":159784103,""ID"":156549252,""toNode"":177424141,""isForward"":false}]",0,1.4027777777777777,5.05,"R. Des. Trindade","NONE","NONE",1550391013972,443588260,"R. Miguel Couto",
443483761,"Campina Grande","BR",123,443483761,188,4,"[{""x"":-35.900471,""y"":-7.245797},{""x"":-35.900361,""y"":-7.246605},{""x"":-35.900242,""y"":-7.247482}]",1550390385899,1,"[{""fromNode"":159782339,""ID"":237101120,""toNode"":203922410,""isForward"":true},{""fromNode"":203922410,""ID"":237101122,""toNode"":159782369,""isForward"":true}]",0,1.2777777777777777,4.6,"R. Profa. Djanira Tavares","NONE","NONE",1550390697366,443483761,"R. Francisco Ernesto do Rego",
