"_id","severity","country","city","level","line","speedKMH","length","turnType","type","uuid","endNode","speed","segments","roadType","delay","updateMillis","street","id","pubMillis"
1233716139,0,"BR","Curitiba",4,"[{""x"":-49.201144,""y"":-25.492822},{""x"":-49.201429,""y"":-25.493233},{""x"":-49.201695,""y"":-25.493637},{""x"":-49.202033,""y"":-25.494184}]",3.87,175,"NONE","NONE",1233716139,"R. Antonio Tortato",1.075,"[{""fromNode"":259588932,""ID"":321578640,""toNode"":161168109,""isForward"":false},{""fromNode"":161168109,""ID"":158613502,""toNode"":161168019,""isForward"":false},{""fromNode"":161168019,""ID"":158613376,""toNode"":161168031,""isForward"":false}]",1,139,1543584118570,"R. Helena Carcereri Piekarski",1233716139,1543583915605
1233554059,0,"BR","Curitiba",2,"[{""x"":-49.240692,""y"":-25.396713},{""x"":-49.239393,""y"":-25.398312},{""x"":-49.238699,""y"":-25.399177},{""x"":-49.238017,""y"":-25.40007}]",9.16,459,"NONE","NONE",1233554059,"Av. Pref. Erasto Gaertner",2.5444444444444443,"[{""fromNode"":161159253,""ID"":265475615,""toNode"":161159473,""isForward"":true},{""fromNode"":161159473,""ID"":158601080,""toNode"":161159692,""isForward"":false},{""fromNode"":161159692,""ID"":265602135,""toNode"":161159813,""isForward"":true}]",1,65,1543584116993,"R. Maximino Zanon",1233554059,1543583913442
1233553839,0,"BR","Curitiba",1,"[{""x"":-49.257692,""y"":-25.451615},{""x"":-49.258253,""y"":-25.450493},{""x"":-49.258789,""y"":-25.449329},{""x"":-49.259201,""y"":-25.448505},{""x"":-49.259325,""y"":-25.448213},{""x"":-49.260097,""y"":-25.446597},{""x"":-49.260652,""y"":-25.445426},{""x"":-49.261277,""y"":-25.444123}]",11.120000000000001,904,"NONE","NONE",1233553839,"R. Brasílio Itiberê",3.088888888888889,"[{""fromNode"":161155059,""ID"":158594116,""toNode"":161154682,""isForward"":false},{""fromNode"":161154682,""ID"":254896418,""toNode"":161154576,""isForward"":false},{""fromNode"":161154576,""ID"":276976591,""toNode"":161154418,""isForward"":true},{""fromNode"":161154418,""ID"":158593355,""toNode"":161154212,""isForward"":false},{""fromNode"":161154212,""ID"":158593097,""toNode"":161154073,""isForward"":false},{""fromNode"":161154073,""ID"":158592845,""toNode"":161153912,""isForward"":false}]",1,136,1543584116373,"R. Piquiri",1233553839,1543583913261
1233553339,0,"BR","Curitiba",3,"[{""x"":-49.261263,""y"":-25.43566},{""x"":-49.260465,""y"":-25.435353},{""x"":-49.260263,""y"":-25.435219},{""x"":-49.259488,""y"":-25.434936},{""x"":-49.258497,""y"":-25.434548},{""x"":-49.257661,""y"":-25.43424}]",8.340000000000002,396,"NONE","NONE",1233553339,"Av. Sete de Setembro - Pista Dir.",2.316666666666667,"[{""fromNode"":161153948,""ID"":158592861,""toNode"":161154238,""isForward"":true},{""fromNode"":161154238,""ID"":158593186,""toNode"":161154450,""isForward"":true},{""fromNode"":161154450,""ID"":158593250,""toNode"":161154494,""isForward"":true},{""fromNode"":161154494,""ID"":331499196,""toNode"":161154715,""isForward"":false},{""fromNode"":161154715,""ID"":158594011,""toNode"":161154989,""isForward"":true}]",1,110,1543584116694,"Av. Sete de Setembro",1233553339,1543583912912
1233553119,0,"BR","Curitiba",3,"[{""x"":-49.25207,""y"":-25.491613},{""x"":-49.251157,""y"":-25.493464},{""x"":-49.250248,""y"":-25.495292}]",7.06,447,"NONE","NONE",1233553119,"R. Ten. Tito Teixeira de Castro",1.961111111111111,"[{""fromNode"":161156309,""ID"":158596472,""toNode"":161156535,""isForward"":true},{""fromNode"":161156535,""ID"":158596810,""toNode"":161156765,""isForward"":true}]",1,116,1543584116367,"R. Pe. Dehon",1233553119,1543583912762
1233552739,0,"BR","Curitiba",3,"[{""x"":-49.274141,""y"":-25.534085},{""x"":-49.273851,""y"":-25.534682},{""x"":-49.273513,""y"":-25.535393},{""x"":-49.27343,""y"":-25.535551},{""x"":-49.273084,""y"":-25.536289}]",6.6,266,"NONE","NONE",1233552739,"R. Izaac Ferreira da Cruz",1.8333333333333333,"[{""fromNode"":161150050,""ID"":158587029,""toNode"":161150144,""isForward"":true},{""fromNode"":161150144,""ID"":158587135,""toNode"":161150376,""isForward"":true},{""fromNode"":161150376,""ID"":158587295,""toNode"":161150407,""isForward"":true},{""fromNode"":161150407,""ID"":158587322,""toNode"":161150141,""isForward"":true}]",2,99,1543584115736,"R. Tijucas do Sul",1233552739,1543583912481
1233552439,0,"BR","Curitiba",2,"[{""x"":-49.270629,""y"":-25.447654},{""x"":-49.271266,""y"":-25.446379},{""x"":-49.271926,""y"":-25.444959},{""x"":-49.2726,""y"":-25.443541}]",9.83,497,"NONE","NONE",1233552439,"Av. Iguaçu - Pista Esq.",2.7305555555555556,"[{""fromNode"":161151127,""ID"":158588371,""toNode"":161150953,""isForward"":false},{""fromNode"":161150953,""ID"":158588033,""toNode"":161150737,""isForward"":false},{""fromNode"":161150737,""ID"":158587734,""toNode"":161150650,""isForward"":false}]",1,97,1543584116039,"R. Nunes Machado",1233552439,1543583912216
1233551709,0,"BR","Curitiba",2,"[{""x"":-49.244293,""y"":-25.435324},{""x"":-49.24437,""y"":-25.435224},{""x"":-49.244294,""y"":-25.43446},{""x"":-49.244239,""y"":-25.433909},{""x"":-49.244164,""y"":-25.433074},{""x"":-49.244007,""y"":-25.43165},{""x"":-49.243868,""y"":-25.430488},{""x"":-49.243725,""y"":-25.429141},{""x"":-49.243705,""y"":-25.428744}]",12.6,735,"NONE","NONE",1233551709,"R. Mal. Deodoro",3.5,"[{""fromNode"":178878954,""ID"":246979791,""toNode"":161158539,""isForward"":true},{""fromNode"":161158539,""ID"":306911083,""toNode"":250184351,""isForward"":false},{""fromNode"":250184351,""ID"":306911082,""toNode"":161158568,""isForward"":false},{""fromNode"":161158568,""ID"":158599455,""toNode"":161158363,""isForward"":true},{""fromNode"":161158363,""ID"":158599500,""toNode"":161158382,""isForward"":true},{""fromNode"":161158382,""ID"":158599520,""toNode"":161158641,""isForward"":true},{""fromNode"":161158641,""ID"":158599568,""toNode"":161158472,""isForward"":true}]",1,110,1543584114814,"R. Pref. Ângelo Lopes",1233551709,1543583911180
1233551429,0,"BR","Curitiba",2,"[{""x"":-49.298565,""y"":-25.427806},{""x"":-49.297888,""y"":-25.429157}]",3.04,164,"NONE","NONE",1233551429,"R. Frederico Cantarelli",0.8444444444444444,"[{""fromNode"":161143460,""ID"":158577200,""toNode"":161143642,""isForward"":false}]",1,111,1543584114067,"R. Bruno Filgueira",1233551429,1543583910957
1233550849,0,"BR","Curitiba",2,"[{""x"":-49.299176,""y"":-25.505944},{""x"":-49.297429,""y"":-25.505919}]",4.9,176,"NONE","NONE",1233550849,"R. Mal. Octávio Saldanha Mazza",1.3611111111111112,"[{""fromNode"":161143065,""ID"":158576917,""toNode"":161143588,""isForward"":false}]",1,70,1543584114087,"R. Prof. Waldir de Jesus",1233550849,1543583910346
