"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportMood","reportRating","showFacebookPic","speed","street","subtype","type","uuid","wazeData","roadType","reportBy","reportDescription","nearBy","provider","providerId","imageId","imageUrl","reportByActiveGroupIcon","reportByActiveGroupName"
"alert-755066645/4fc6684d-1f1d-3f3f-92b4-a0f33afb3a9c","Paulista","[{""reportBy"":"""",""reportMillis"":1551912399577,""text"":""Não tem. "",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1551912520648,""isThumbsUp"":true},{""reportBy"":""NatyBanja"",""reportMillis"":1551912721244,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913433732,""text"":""Não tem "",""isThumbsUp"":false}]",2,"BR","alert-755066645/4fc6684d-1f1d-3f3f-92b4-a0f33afb3a9c",false,false,"{""x"":-34.89581,""y"":-7.921814}",198,2,0,2,1551911467303,9,34,0,false,0,,"","ACCIDENT","4fc6684d-1f1d-3f3f-92b4-a0f33afb3a9c","world,-34.89581,-7.921814,4fc6684d-1f1d-3f3f-92b4-a0f33afb3a9c,755066645",4,,,,,,,,,
"alert-743786631/31883aed-7393-3e70-aed8-a2ab442115fb","Recife","[{""reportBy"":"""",""reportMillis"":1551912618206,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913096546,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913349930,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913384972,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913505090,""isThumbsUp"":true},{""reportMillis"":1551914182300,""isThumbsUp"":true},{""reportMillis"":1551914205658,""isThumbsUp"":true},{""reportBy"":""chicotrix78"",""reportMillis"":1551914264275,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551914445929,""isThumbsUp"":true}]",4,"BR","alert-743786631/31883aed-7393-3e70-aed8-a2ab442115fb",false,false,"{""x"":-34.896088,""y"":-8.053471}",32,0,0,9,1551911861592,10,10,3,false,0,"Av. Gov. Agamenon Magalhães - Pista Lateral","HAZARD_ON_ROAD_CAR_STOPPED","HAZARD","31883aed-7393-3e70-aed8-a2ab442115fb","world,-34.896088,-8.053471,31883aed-7393-3e70-aed8-a2ab442115fb,743786631",1,,,,,,,,,
"alert-756326704/fa85feae-f934-300e-ae9b-a8161d5404de","Recife","[]",0,"BR","alert-756326704/fa85feae-f934-300e-ae9b-a8161d5404de",false,false,"{""x"":-34.921444,""y"":-8.061455}",284,0,0,0,1551911904885,5,1,1,false,0,"Av. Eng. Abdias de Carvalho","JAM_HEAVY_TRAFFIC","JAM","fa85feae-f934-300e-ae9b-a8161d5404de","world,-34.921444,-8.061455,fa85feae-f934-300e-ae9b-a8161d5404de,756326704",2,,"Trânsito da P@$$@",,,,,,,
"alert-741207132/bec539d1-0c5d-3eba-9cb7-7da55ed2bd73","Paulista","[]",0,"BR","alert-741207132/bec539d1-0c5d-3eba-9cb7-7da55ed2bd73",false,false,"{""x"":-34.851414,""y"":-7.952132}",162,0,0,0,1551911915090,5,1,2,false,0,"Av. Brasil","JAM_STAND_STILL_TRAFFIC","JAM","bec539d1-0c5d-3eba-9cb7-7da55ed2bd73","world,-34.851414,-7.952132,bec539d1-0c5d-3eba-9cb7-7da55ed2bd73,741207132",2,,,,,,,,,
"alert-748146599/7621850d-e713-3e4d-828e-b23810de3f1c","Abreu e Lima","[]",0,"BR","alert-748146599/7621850d-e713-3e4d-828e-b23810de3f1c",false,false,"{""x"":-34.902234,""y"":-7.907162}",282,0,0,0,1551911314479,5,34,0,false,0,"R. da Bidoca","","JAM","7621850d-e713-3e4d-828e-b23810de3f1c","world,-34.902234,-7.907162,7621850d-e713-3e4d-828e-b23810de3f1c,748146599",1,,,,,,,,,
"alert-749100738/a76148dd-86e3-3bbc-99b1-2203f3dbaf6b","Igarassu","[]",0,"BR","alert-749100738/a76148dd-86e3-3bbc-99b1-2203f3dbaf6b",false,false,"{""x"":-34.908566,""y"":-7.856363}",171,0,0,0,1551911949164,5,34,0,false,0,"Via Expressa Ônibus","JAM_STAND_STILL_TRAFFIC","JAM","a76148dd-86e3-3bbc-99b1-2203f3dbaf6b","world,-34.908566,-7.856363,a76148dd-86e3-3bbc-99b1-2203f3dbaf6b,749100738",17,,,,,,,,,
"alert-740440743/51c98308-3074-35cb-ba7e-5d008eebb0b6","Igarassu","[]",0,"BR","alert-740440743/51c98308-3074-35cb-ba7e-5d008eebb0b6",false,false,"{""x"":-34.90771,""y"":-7.862264}",171,0,0,0,1551912009810,5,34,0,false,0,"Via Expressa Ônibus","JAM_STAND_STILL_TRAFFIC","JAM","51c98308-3074-35cb-ba7e-5d008eebb0b6","world,-34.90771,-7.862264,51c98308-3074-35cb-ba7e-5d008eebb0b6,740440743",17,,,,,,,,,
"alert-754206035/fa7ba71a-0eb4-3498-9f88-decf18a6fe65","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1551910331874,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551910589284,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551910868193,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551911092075,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551911346132,""isThumbsUp"":true},{""reportMillis"":1551911541287,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551911828105,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912530468,""text"":""ta ainda"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1551912895953,""text"":""dp outro lado"",""isThumbsUp"":false},{""reportMillis"":1551912931780,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913030515,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913129334,""text"":""ta livre"",""isThumbsUp"":false}]",4,"BR","alert-754206035/fa7ba71a-0eb4-3498-9f88-decf18a6fe65",true,false,"{""x"":-34.923045,""y"":-8.156103}",239,3,0,9,1551910227939,10,50,1,false,0,"PE-008 Est. da Batalha","","POLICE","fa7ba71a-0eb4-3498-9f88-decf18a6fe65","world,-34.923045,-8.156103,fa7ba71a-0eb4-3498-9f88-decf18a6fe65,754206035",7,,,,,,,,,
"alert-752846556/c404bb3f-1160-32d0-9e5b-45321ca50509","Cabo de Santo Agostinho","[{""reportBy"":"""",""reportMillis"":1551910693760,""isThumbsUp"":true}]",0,"BR","alert-752846556/c404bb3f-1160-32d0-9e5b-45321ca50509",true,false,"{""x"":-35.02153,""y"":-8.268758}",221,0,0,1,1551910357006,6,34,0,false,0,"BR-101 Antiga","","POLICE","c404bb3f-1160-32d0-9e5b-45321ca50509","world,-35.02153,-8.268758,c404bb3f-1160-32d0-9e5b-45321ca50509,752846556",7,,,,,,,,,
"alert-747546499/ae3826c6-241a-3a90-bcd8-83d38c6fba3b","Cabo de Santo Agostinho","[]",0,"BR","alert-747546499/ae3826c6-241a-3a90-bcd8-83d38c6fba3b",true,false,"{""x"":-34.952136,""y"":-8.279356}",6,0,0,0,1551910696957,6,0,0,false,0,"PE-024 Rota dos Coqueiros","POLICE_VISIBLE","POLICE","ae3826c6-241a-3a90-bcd8-83d38c6fba3b","world,-34.952136,-8.279356,ae3826c6-241a-3a90-bcd8-83d38c6fba3b,747546499",7,,,,,,,,,
"alert-753866745/50ae0fb5-c54f-3121-a7d5-9f37e1f5436b","Camaragibe","[]",0,"BR","alert-753866745/50ae0fb5-c54f-3121-a7d5-9f37e1f5436b",false,false,"{""x"":-34.989197,""y"":-8.023541}",349,0,0,0,1551912190241,5,1,2,false,0,"R. Ten. Arnaldo","HAZARD_ON_ROAD_POT_HOLE","HAZARD","50ae0fb5-c54f-3121-a7d5-9f37e1f5436b","world,-34.989197,-8.023541,50ae0fb5-c54f-3121-a7d5-9f37e1f5436b,753866745",1,,,,,,,,,
"alert-746866889/474f0d99-835f-30a1-b78c-1c22e0a954dd","Recife","[{""reportBy"":"""",""reportMillis"":1551912627039,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912777465,""isThumbsUp"":true},{""reportBy"":""bocaGC30"",""reportMillis"":1551913073548,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913437217,""isThumbsUp"":true},{""reportMillis"":1551913631511,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551914202646,""isThumbsUp"":true},{""reportMillis"":1551914585119,""isThumbsUp"":true}]",3,"BR","alert-746866889/474f0d99-835f-30a1-b78c-1c22e0a954dd",false,false,"{""x"":-34.92543,""y"":-8.060466}",285,0,0,7,1551912156029,10,24,2,false,0,"Av. Eng. Abdias de Carvalho","HAZARD_ON_ROAD_CONSTRUCTION","HAZARD","474f0d99-835f-30a1-b78c-1c22e0a954dd","world,-34.92543,-8.060466,474f0d99-835f-30a1-b78c-1c22e0a954dd,746866889",2,"CarlysonRibeiro",,,,,,,,
"alert-746126590/ff9219bd-7b0b-31d5-9b20-2b236e8fb66c","Recife","[{""reportMillis"":1551912495403,""isThumbsUp"":false}]",0,"BR","alert-746126590/ff9219bd-7b0b-31d5-9b20-2b236e8fb66c",false,false,"{""x"":-34.889033,""y"":-8.061615}",34,1,0,0,1551912074728,7,34,0,false,0,"R. José de Alencar","POLICE_VISIBLE","POLICE","ff9219bd-7b0b-31d5-9b20-2b236e8fb66c","world,-34.889033,-8.061615,ff9219bd-7b0b-31d5-9b20-2b236e8fb66c,746126590",1,,,,,,,,,
"alert-757726544/4f879f9e-ab15-35cf-a7ad-82de4dede251","Olinda","[]",0,"BR","alert-757726544/4f879f9e-ab15-35cf-a7ad-82de4dede251",false,false,"{""x"":-34.858185,""y"":-7.984777}",255,0,0,0,1551912232820,5,34,0,false,0,"R. Sen. Barros de Carvalho","","POLICE","4f879f9e-ab15-35cf-a7ad-82de4dede251","world,-34.858185,-7.984777,4f879f9e-ab15-35cf-a7ad-82de4dede251,757726544",1,,,,,,,,,
"alert-755166555/2a69f3d5-27ee-30f1-905f-746f7e2ac817","Olinda","[]",0,"BR","alert-755166555/2a69f3d5-27ee-30f1-905f-746f7e2ac817",false,false,"{""x"":-34.858186,""y"":-7.984778}",255,0,0,0,1551912262171,5,34,0,false,0,"R. Sen. Barros de Carvalho","","ACCIDENT","2a69f3d5-27ee-30f1-905f-746f7e2ac817","world,-34.858186,-7.984778,2a69f3d5-27ee-30f1-905f-746f7e2ac817,755166555",1,,,,,,,,,
"alert-744066561/8eb80d90-e246-31fc-b0dd-cdb9032c05ef","Olinda","[]",0,"BR","alert-744066561/8eb80d90-e246-31fc-b0dd-cdb9032c05ef",false,false,"{""x"":-34.858189,""y"":-7.984779}",255,0,0,0,1551912284751,5,34,0,false,0,"R. Sen. Barros de Carvalho","","HAZARD","8eb80d90-e246-31fc-b0dd-cdb9032c05ef","world,-34.858189,-7.984779,8eb80d90-e246-31fc-b0dd-cdb9032c05ef,744066561",1,,,,,,,,,
"alert-751466567/d6ffa185-7daf-3c11-9ff2-750410e9f0ae","Olinda","[]",0,"BR","alert-751466567/d6ffa185-7daf-3c11-9ff2-750410e9f0ae",false,false,"{""x"":-34.858191,""y"":-7.984779}",255,0,0,0,1551912295812,5,34,0,false,0,"R. Sen. Barros de Carvalho","","JAM","d6ffa185-7daf-3c11-9ff2-750410e9f0ae","world,-34.858191,-7.984779,d6ffa185-7daf-3c11-9ff2-750410e9f0ae,751466567",1,,,,,,,,,
"alert-752740756/8ecf57b5-6122-344e-995c-33c275d99abd","Abreu e Lima","[{""reportBy"":"""",""reportMillis"":1551912961130,""isThumbsUp"":true}]",0,"BR","alert-752740756/8ecf57b5-6122-344e-995c-33c275d99abd",false,false,"{""x"":-34.904016,""y"":-7.887844}",171,0,0,1,1551912307945,6,34,0,false,0,"Via Expressa Ônibus","JAM_HEAVY_TRAFFIC","JAM","8ecf57b5-6122-344e-995c-33c275d99abd","world,-34.904016,-7.887844,8ecf57b5-6122-344e-995c-33c275d99abd,752740756",,,,,,,,,,
"alert-740706523/110a8d5e-fb37-332f-ac2a-04c447afe53e","Cabo de Santo Agostinho","[]",0,"BR","alert-740706523/110a8d5e-fb37-332f-ac2a-04c447afe53e",true,false,"{""x"":-34.949155,""y"":-8.269926}",354,0,0,0,1551910773472,6,0,0,false,0,"PE-024 Rota dos Coqueiros","POLICE_VISIBLE","POLICE","110a8d5e-fb37-332f-ac2a-04c447afe53e","world,-34.949155,-8.269926,110a8d5e-fb37-332f-ac2a-04c447afe53e,740706523",7,,,,,,,,,
"alert-748126349/8d945107-e757-33aa-8451-776c4fb0f54f","Jaboatão dos Guararapes","[]",0,"BR","alert-748126349/8d945107-e757-33aa-8451-776c4fb0f54f",true,false,"{""x"":-34.947354,""y"":-8.155404}",279,0,0,0,1551911043559,5,24,1,false,0,"PE-017 Rod. Empresário João Santos Filho","POLICE_VISIBLE","POLICE","8d945107-e757-33aa-8451-776c4fb0f54f","world,-34.947354,-8.155404,8d945107-e757-33aa-8451-776c4fb0f54f,748126349",7,,,,,,,,,
