"_id","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","nearBy","provider","providerId","pubMillis","reliability","reportBy","reportDescription","reportMood","reportRating","showFacebookPic","speed","subtype","type","uuid","wazeData","city","roadType","street","imageId","imageUrl","additionalInfo","reportByActiveGroupIcon","reportByActiveGroupName"
"alert-693915119/66e2a612-ade9-3245-9f36-fa5e3d9824ba","[]",0,"BR","alert-693915119/66e2a612-ade9-3245-9f36-fa5e3d9824ba",false,false,"{""x"":-34.914627,""y"":-8.03719}",49,0,0,0,,,,1551022261667,5,,,1,0,false,0,"","JAM","66e2a612-ade9-3245-9f36-fa5e3d9824ba","world,-34.914627,-8.03719,66e2a612-ade9-3245-9f36-fa5e3d9824ba,693915119","Recife",2,"Av. 17 de Agosto",,,,,
"alert-687115123/09503d78-7d54-33e5-b77e-31304dbb6b8f","[]",0,"BR","alert-687115123/09503d78-7d54-33e5-b77e-31304dbb6b8f",false,false,"{""x"":-34.914161,""y"":-8.036726}",43,0,0,0,,,,1551022271987,5,,,1,0,false,0,"JAM_MODERATE_TRAFFIC","JAM","09503d78-7d54-33e5-b77e-31304dbb6b8f","world,-34.914161,-8.036726,09503d78-7d54-33e5-b77e-31304dbb6b8f,687115123","Recife",2,"Av. 17 de Agosto",,,,,
"alert-704440574/520186e7-476f-3db5-8f50-c994ccda4eac","[{""reportBy"":"""",""reportMillis"":1551023440781,""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1551023533928,""isThumbsUp"":false},{""reportBy"":""CarolineJordaoAPereira"",""reportMillis"":1551023732627,""text"":""BLOCO!"",""isThumbsUp"":false}]",1,"BR","alert-704440574/520186e7-476f-3db5-8f50-c994ccda4eac",false,false,"{""x"":-34.910278,""y"":-8.03344}",93,3,0,0,,,,1551022182882,8,,,8,1,false,0,"JAM_HEAVY_TRAFFIC","JAM","520186e7-476f-3db5-8f50-c994ccda4eac","world,-34.910278,-8.03344,520186e7-476f-3db5-8f50-c994ccda4eac,704440574","Recife",2,"Av. 17 de Agosto",,,,,
"alert-695680589/cde2332b-356e-3e3f-991c-c8f4c597c2d9","[{""reportBy"":"""",""reportMillis"":1551022259220,""isThumbsUp"":false}]",0,"BR","alert-695680589/cde2332b-356e-3e3f-991c-c8f4c597c2d9",false,false,"{""x"":-34.909451,""y"":-8.033829}",125,1,0,0,,,,1551022223742,6,,,8,1,false,0,"JAM_HEAVY_TRAFFIC","JAM","cde2332b-356e-3e3f-991c-c8f4c597c2d9","world,-34.909451,-8.033829,cde2332b-356e-3e3f-991c-c8f4c597c2d9,695680589","Recife",2,"Av. Parnamirim",,,,,
"alert-697155257/1e419e5b-5e31-3ba8-a3af-e7407fe09aaa","[]",0,"BR","alert-697155257/1e419e5b-5e31-3ba8-a3af-e7407fe09aaa",false,false,"{""x"":-34.900308,""y"":-8.04054}",140,0,0,0,,,,1551022238738,5,,,50,0,false,0,"JAM_HEAVY_TRAFFIC","JAM","1e419e5b-5e31-3ba8-a3af-e7407fe09aaa","world,-34.900308,-8.04054,1e419e5b-5e31-3ba8-a3af-e7407fe09aaa,697155257","Recife",2,"R. do Futuro",,,,,
"alert-691375200/7ee15b5b-3dc1-3442-b598-14668b7dcd2e","[]",0,"BR","alert-691375200/7ee15b5b-3dc1-3442-b598-14668b7dcd2e",false,false,"{""x"":-34.894403,""y"":-8.041022}",125,0,0,0,,,,1551022283134,5,,,49,2,false,0,"JAM_HEAVY_TRAFFIC","JAM","7ee15b5b-3dc1-3442-b598-14668b7dcd2e","world,-34.894403,-8.041022,7ee15b5b-3dc1-3442-b598-14668b7dcd2e,691375200","Recife",2,"R. Quarenta e Oito",,,,,
"alert-704920504/253fe27c-eeaa-3610-97fa-6808b609e535","[{""reportBy"":"""",""reportMillis"":1551022219817,""isThumbsUp"":true}]",0,"BR","alert-704920504/253fe27c-eeaa-3610-97fa-6808b609e535",false,false,"{""x"":-34.87596,""y"":-8.028119}",14,0,0,1,,,,1551022200737,6,,,1,2,false,0,"POLICE_HIDING","POLICE","253fe27c-eeaa-3610-97fa-6808b609e535","world,-34.87596,-8.028119,253fe27c-eeaa-3610-97fa-6808b609e535,704920504","Recife",,"Av. Luís Correia de Brito",,,,,
"alert-690855060/58133762-5226-33c6-a68d-138249ab61df","[{""reportBy"":"""",""reportMillis"":1551022325998,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551022335080,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551022356465,""isThumbsUp"":true}]",1,"BR","alert-690855060/58133762-5226-33c6-a68d-138249ab61df",false,false,"{""x"":-34.86932,""y"":-8.034009}",221,0,0,3,,,,1551022308266,8,,,50,0,false,0,"JAM_HEAVY_TRAFFIC","JAM","58133762-5226-33c6-a68d-138249ab61df","world,-34.86932,-8.034009,58133762-5226-33c6-a68d-138249ab61df,690855060","Olinda",2,"Avenida Gov. Agamenon Magalhães",,,,,
"alert-699297015/0f43947b-8d61-3727-9e8a-fd05f0293fa6","[]",0,"BR","alert-699297015/0f43947b-8d61-3727-9e8a-fd05f0293fa6",false,false,"{""x"":-34.862822,""y"":-8.017752}",30,0,0,0,,,,1551022165488,5,,,50,0,false,0,"POLICE_VISIBLE","POLICE","0f43947b-8d61-3727-9e8a-fd05f0293fa6","world,-34.862822,-8.017752,0f43947b-8d61-3727-9e8a-fd05f0293fa6,699297015","Olinda",,"R. Prof. Agamenon Magalhães",,,,,
"alert-687335243/7c8334fa-f48d-3502-840e-c14b39b005d0","[{""reportBy"":"""",""reportMillis"":1551023299520,""isThumbsUp"":false},{""reportBy"":""MarcosV1e1ra"",""reportMillis"":1551023819250,""isThumbsUp"":false}]",1,"BR","alert-687335243/7c8334fa-f48d-3502-840e-c14b39b005d0",false,false,"{""x"":-34.848158,""y"":-8.000436}",118,2,0,0,,,,1551022158489,7,,,34,0,false,0,"JAM_HEAVY_TRAFFIC","JAM","7c8334fa-f48d-3502-840e-c14b39b005d0","world,-34.848158,-8.000436,7c8334fa-f48d-3502-840e-c14b39b005d0,687335243","Olinda",2,"Av. Chico Science",,,,,
