"busCode","hasBusBunching","trips","percTrips"
"BC918","FALSE",44,1
"BC920","FALSE",165,1
"BC925","FALSE",279,1
"BC926","FALSE",352,1
"BC927","FALSE",323,1
"BC928","FALSE",190,1
"BC929","FALSE",284,1
"BC930","FALSE",191,1
"BC931","FALSE",135,1
"BC932","FALSE",258,1
"BC933","FALSE",55,1
"BC934","FALSE",306,1
"BC935","FALSE",133,1
"BC936","FALSE",236,1
"BC937","FALSE",231,1
"BC938","FALSE",368,1
"BC939","FALSE",194,1
"BC940","FALSE",224,1
"BC941","FALSE",142,1
"BC942","FALSE",231,0.991416309012876
"BC942","TRUE",2,0.00858369098712446
"BC944","FALSE",200,0.985221674876847
"BC944","TRUE",3,0.0147783251231527
"BC945","FALSE",76,1
"BC946","FALSE",186,1
"BC947","FALSE",234,1
"BC948","FALSE",382,1
"BC949","FALSE",92,1
"BD126","FALSE",45,0.918367346938776
"BD126","TRUE",4,0.0816326530612245
"BD127","FALSE",48,0.857142857142857
"BD127","TRUE",8,0.142857142857143
"BD128","FALSE",47,0.87037037037037
"BD128","TRUE",7,0.12962962962963
"BD129","FALSE",57,0.890625
"BD129","TRUE",7,0.109375
"BD130","FALSE",44,1
"BD131","FALSE",32,0.96969696969697
"BD131","TRUE",1,0.0303030303030303
"BD132","FALSE",45,0.849056603773585
"BD132","TRUE",8,0.150943396226415
"BD133","FALSE",57,0.934426229508197
"BD133","TRUE",4,0.0655737704918033
"BD134","FALSE",74,0.925
"BD134","TRUE",6,0.075
"BD135","FALSE",120,0.94488188976378
"BD135","TRUE",7,0.0551181102362205
"BD136","FALSE",141,0.952702702702703
"BD136","TRUE",7,0.0472972972972973
"BD137","FALSE",117,0.975
"BD137","TRUE",3,0.025
"BD138","FALSE",93,0.948979591836735
"BD138","TRUE",5,0.0510204081632653
"BD139","FALSE",132,0.963503649635037
"BD139","TRUE",5,0.0364963503649635
"BD140","FALSE",113,0.91869918699187
"BD140","TRUE",10,0.0813008130081301
"BD141","FALSE",144,0.95364238410596
"BD141","TRUE",7,0.0463576158940397
"BD142","FALSE",78,0.886363636363636
"BD142","TRUE",10,0.113636363636364
"BD143","FALSE",67,0.985294117647059
"BD143","TRUE",1,0.0147058823529412
"BD144","FALSE",121,0.975806451612903
"BD144","TRUE",3,0.0241935483870968
"BD145","FALSE",95,0.89622641509434
"BD145","TRUE",11,0.10377358490566
"BD146","FALSE",86,0.924731182795699
"BD146","TRUE",7,0.0752688172043011
"BD147","FALSE",146,0.924050632911392
"BD147","TRUE",12,0.0759493670886076
"BD148","FALSE",99,0.933962264150943
"BD148","TRUE",7,0.0660377358490566
"BD149","FALSE",150,0.961538461538462
"BD149","TRUE",6,0.0384615384615385
"BD150","FALSE",98,0.882882882882883
"BD150","TRUE",13,0.117117117117117
"BE700","FALSE",76,0.904761904761905
"BE700","TRUE",8,0.0952380952380952
"BE701","FALSE",76,0.926829268292683
"BE701","TRUE",6,0.0731707317073171
"BE702","FALSE",57,0.919354838709677
"BE702","TRUE",5,0.0806451612903226
"BE703","FALSE",107,0.955357142857143
"BE703","TRUE",5,0.0446428571428571
"BE704","FALSE",40,0.888888888888889
"BE704","TRUE",5,0.111111111111111
"BE705","FALSE",80,0.963855421686747
"BE705","TRUE",3,0.036144578313253
"BE706","FALSE",73,0.973333333333333
"BE706","TRUE",2,0.0266666666666667
"BE842","FALSE",73,0.820224719101124
"BE842","TRUE",16,0.179775280898876
"BE844","FALSE",80,0.952380952380952
"BE844","TRUE",4,0.0476190476190476
"BE845","FALSE",60,0.882352941176471
