"route","hasBusBunching","trips","percTrips"
"703","TRUE",328,0.293643688451209
"711","FALSE",1061,0.980591497227357
"711","TRUE",21,0.0194085027726433
"712","FALSE",976,0.970178926441352
"712","TRUE",30,0.0298210735586481
"713","FALSE",39,1
"714","FALSE",528,1
"718","FALSE",710,1
"719","FALSE",466,1
"720","FALSE",114,1
"721","FALSE",338,1
"732","FALSE",58,1
"760","FALSE",878,0.997727272727273
"760","TRUE",2,0.00227272727272727
"761","FALSE",675,0.997045790251108
"761","TRUE",2,0.00295420974889217
"762","FALSE",563,1
"776","FALSE",198,1
"777","FALSE",1187,0.913779830638953
"777","TRUE",112,0.086220169361047
"778","FALSE",540,1
"779","FALSE",381,1
"801","FALSE",869,0.783588818755636
"801","TRUE",240,0.216411181244364
"811","FALSE",1236,1
"812","FALSE",1210,0.98694942903752
"812","TRUE",16,0.0130505709624796
"814","FALSE",788,1
"815","FALSE",108,0.964285714285714
"815","TRUE",4,0.0357142857142857
"821","FALSE",886,0.970427163198248
"821","TRUE",27,0.0295728368017525
"822","FALSE",261,1
"823","FALSE",1225,0.991902834008097
"823","TRUE",10,0.00809716599190283
"825","FALSE",381,1
"826","FALSE",610,0.969793322734499
"826","TRUE",19,0.0302066772655008
"827","FALSE",566,1
"828","FALSE",955,0.980492813141684
"828","TRUE",19,0.0195071868583162
"829","FALSE",1392,0.845173041894353
"829","TRUE",255,0.154826958105647
"831","FALSE",75,1
"860","FALSE",1115,0.903565640194489
"860","TRUE",119,0.0964343598055105
"861","FALSE",560,1
"865","FALSE",910,0.931422722620266
"865","TRUE",67,0.0685772773797339
"870","FALSE",1282,0.977134146341463
"870","TRUE",30,0.0228658536585366
"875","FALSE",671,1
"876","FALSE",1051,0.956323930846224
"876","TRUE",48,0.0436760691537762
"901","FALSE",1955,0.658027600134635
"901","TRUE",1016,0.341972399865365
"902","FALSE",507,0.835255354200989
"902","TRUE",100,0.164744645799012
"911","FALSE",919,0.993513513513513
"911","TRUE",6,0.00648648648648649
"912","FALSE",729,1
